Ch,Count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,4
31,918
32,4059
33,4396
34,3505
35,2733
36,2236
37,1830
38,1657
39,1486
40,1333
41,1304
42,1226
43,1187
44,1189
45,1197
46,1183
47,1141
48,1231
49,1201
50,1071
51,1217
52,1194
53,1178
54,1240
55,1232
56,1207
57,1176
58,1218
59,1194
60,1181
61,1183
62,1115
63,1171
64,1117
65,1191
66,1114
67,1069
68,1080
69,1069
70,1138
71,1102
72,1065
73,1094
74,1042
75,1073
76,1099
77,1086
78,1104
79,1093
80,1119
81,1109
82,1075
83,1093
84,1138
85,1126
86,1063
87,1074
88,1138
89,1139
90,1104
91,1123
92,1082
93,1083
94,1126
95,1040
96,1095
97,1044
98,1181
99,1093
100,1173
101,1108
102,1100
103,1060
104,1201
105,1071
106,1096
107,1081
108,1127
109,1058
110,1196
111,1172
112,1075
113,1135
114,1032
115,1110
116,1105
117,1142
118,1072
119,1091
120,1177
121,1139
122,1130
123,1206
124,1115
125,1204
126,1145
127,1193
128,1216
129,1107
130,1208
131,1197
132,1152
133,1168
134,1146
135,1169
136,1175
137,1164
138,1167
139,1140
140,1153
141,1230
142,1231
143,1209
144,1112
145,1131
146,1177
147,1121
148,1157
149,1141
150,1117
151,1199
152,1180
153,1155
154,1109
155,1110
156,1217
157,1172
158,1121
159,1074
160,1162
161,1168
162,1180
163,1153
164,1193
165,1204
166,1185
167,1168
168,1175
169,1276
170,1284
171,1258
172,1323
173,1244
174,1316
175,1359
176,1428
177,1427
178,1445
179,1455
180,1521
181,1538
182,1526
183,1517
184,1614
185,1613
186,1655
187,1686
188,1668
189,1727
190,1670
191,1761
192,1743
193,1767
194,1715
195,1707
196,1723
197,1662
198,1701
199,1713
200,1651
201,1651
202,1666
203,1688
204,1605
205,1597
206,1616
207,1619
208,1646
209,1534
210,1533
211,1571
212,1430
213,1444
214,1537
215,1425
216,1445
217,1500
218,1440
219,1368
220,1440
221,1414
222,1388
223,1476
224,1317
225,1303
226,1301
227,1365
228,1270
229,1298
230,1338
231,1306
232,1238
233,1226
234,1184
235,1210
236,1175
237,1202
238,1210
239,1223
240,1138
241,1169
242,1142
243,1063
244,1134
245,1125
246,1149
247,1149
248,1098
249,1122
250,1044
251,1064
252,1105
253,1083
254,1023
255,1004
256,1045
257,992
258,1062
259,1035
260,988
261,992
262,942
263,953
264,928
265,996
266,912
267,970
268,983
269,956
270,966
271,939
272,945
273,960
274,931
275,915
276,937
277,870
278,916
279,921
280,903
281,948
282,886
283,985
284,909
285,964
286,924
287,921
288,950
289,889
290,898
291,868
292,918
293,920
294,916
295,892
296,893
297,917
298,943
299,967
300,995
301,936
302,892
303,942
304,907
305,904
306,937
307,858
308,866
309,926
310,843
311,908
312,896
313,979
314,879
315,895
316,853
317,915
318,886
319,886
320,854
321,894
322,808
323,842
324,867
325,863
326,873
327,884
328,897
329,862
330,849
331,841
332,881
333,849
334,821
335,797
336,885
337,867
338,830
339,860
340,862
341,848
342,897
343,837
344,917
345,823
346,847
347,831
348,873
349,821
350,857
351,801
352,850
353,855
354,870
355,828
356,818
357,826
358,836
359,848
360,841
361,843
362,842
363,831
364,820
365,868
366,784
367,876
368,808
369,887
370,809
371,849
372,884
373,839
374,873
375,773
376,833
377,834
378,865
379,796
380,844
381,770
382,865
383,778
384,808
385,776
386,800
387,776
388,806
389,824
390,777
391,758
392,782
393,791
394,747
395,778
396,799
397,767
398,794
399,806
400,804
401,776
402,755
403,777
404,754
405,807
406,758
407,803
408,773
409,814
410,787
411,785
412,824
413,762
414,762
415,774
416,805
417,819
418,822
419,846
420,833
421,801
422,812
423,744
424,751
425,787
426,825
427,757
428,812
429,785
430,829
431,786
432,802
433,844
434,782
435,803
436,809
437,763
438,811
439,772
440,837
441,845
442,856
443,866
444,771
445,805
446,839
447,826
448,806
449,757
450,837
451,796
452,799
453,758
454,785
455,802
456,803
457,803
458,801
459,805
460,762
461,778
462,807
463,796
464,837
465,792
466,801
467,829
468,789
469,823
470,796
471,770
472,794
473,793
474,787
